,data_file,sample_notes,AC Samples,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tetrahydroalstonine,Amt_ug_L_Tryptamine,Amt_ug_L_Tryptophan,Unnamed: 10,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tetrahydroalstonine,Amt_uM_Tryptamine,Amt_uM_Tryptophan
46,210330_TMET494_103.xms,96WP988_P1_F8,15_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7584.032,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,47.33511422,N.A.
47,210330_TMET494_104.xms,96WP988_P1_F9,15_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7257.51,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,45.29715391,N.A.
48,210330_TMET494_105.xms,96WP988_P1_F10,17_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7767.296,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,48.47894146,N.A.
49,210330_TMET494_106.xms,96WP988_P1_F11,17_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,6539.726,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,40.8171639,N.A.
50,210330_TMET494_110.xms,96WP988_P1_G2,17_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8381.084,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,52.30984896,N.A.
51,210330_TMET494_115.xms,96WP988_P1_G7,15_4_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7509.238,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,46.8682936,N.A.
52,210330_TMET494_116.xms,96WP988_P1_G8,15_5_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7513.6,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,46.89551866,N.A.
53,210330_TMET494_117.xms,96WP988_P1_G9,15_6_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8756.877,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,54.65533017,N.A.
54,210330_TMET494_163.xms,96WP989_P2_B2,0_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,347.479,N.D.,1503.692,N.D.,93306.328,N.A.,,N.D.,0.890104514,N.D.,2.834106715,N.D.,582.3637998,N.A.
55,210330_TMET494_164.xms,96WP989_P2_B3,0_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,304.322,N.D.,1576.771,N.D.,84391.211,N.A.,,N.D.,0.779553256,N.D.,2.971843489,N.D.,526.7208276,N.A.
56,210330_TMET494_165.xms,96WP989_P2_B4,0_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,124.213,N.D.,76944.414,N.A.,,N.D.,N.D.,N.D.,0.23411237,N.D.,480.2422544,N.A.
57,210330_TMET494_166.xms,96WP989_P2_B5,1_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,326.874,N.D.,3887.331,N.D.,87623.383,N.A.,,N.D.,0.837322609,N.D.,7.326707126,N.D.,546.8941643,N.A.
58,210330_TMET494_167.xms,96WP989_P2_B6,1_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,361.859,N.D.,4047.349,N.D.,84834.508,N.A.,,N.D.,0.926940417,N.D.,7.628303523,N.D.,529.4876295,N.A.
59,210330_TMET494_168.xms,96WP989_P2_B7,1_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,349.103,N.D.,4745.975,N.D.,91109.992,N.A.,,N.D.,0.894264563,N.D.,8.945049664,N.D.,568.6555486,N.A.
60,210330_TMET494_169.xms,96WP989_P2_B8,2_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,173.566,N.D.,100529.063,N.A.,,N.D.,N.D.,N.D.,0.327131199,N.D.,627.4439084,N.A.
61,210330_TMET494_170.xms,96WP989_P2_B9,2_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,143.228,N.D.,83929.391,N.A.,,N.D.,N.D.,N.D.,0.269951185,N.D.,523.8384159,N.A.
62,210330_TMET494_171.xms,96WP989_P2_B10,2_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,114.359,N.D.,87566.906,N.A.,,N.D.,N.D.,N.D.,0.215539891,N.D.,546.5416677,N.A.
63,210330_TMET494_172.xms,96WP989_P2_B11,3_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,201.522,N.D.,3979.109,N.D.,71415.961,N.A.,,N.D.,0.516220093,N.D.,7.499687129,N.D.,445.7368681,N.A.
64,210330_TMET494_176.xms,96WP989_P2_C2,3_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,525.843,N.D.,6541.584,N.D.,87024.953,N.A.,,N.D.,1.34700292,N.D.,12.32935145,N.D.,543.1591125,N.A.
65,210330_TMET494_177.xms,96WP989_P2_C3,3_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,290.02,N.D.,4562.013,N.D.,81696.516,N.A.,,N.D.,0.742917158,N.D.,8.598324444,N.D.,509.9021096,N.A.
66,210330_TMET494_178.xms,96WP989_P2_C4,4_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,2775.182,N.D.,8698.327,N.D.,102475.266,N.A.,,N.D.,7.108924638,N.D.,16.39430612,N.D.,639.5909749,N.A.
67,210330_TMET494_179.xms,96WP989_P2_C5,4_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,1763.342,N.D.,6323.735,N.D.,90081.766,N.A.,,N.D.,4.516988575,N.D.,11.91875719,N.D.,562.2379603,N.A.
68,210330_TMET494_180.xms,96WP989_P2_C6,4_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,969.347,N.D.,5339.553,N.D.,82345.258,N.A.,,N.D.,2.483085711,N.D.,10.06380496,N.D.,513.9511796,N.A.
69,210330_TMET494_181.xms,96WP989_P2_C7,5_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,1610.962,N.D.,13904.182,N.D.,82805.172,N.A.,,N.D.,4.126650955,N.D.,26.20612172,N.D.,516.8216952,N.A.
70,210330_TMET494_182.xms,96WP989_P2_C8,5_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,1454.794,N.D.,11673.453,N.D.,106374.766,N.A.,,N.D.,3.72660997,N.D.,22.00172079,N.D.,663.9293846,N.A.
